# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Free Worlds League Assault Meks, Tech Level D
Charger CGR-1A1,1
Goliath GOL-1H,2
Awesome AWS-8Q,3
Stalker STK-3F,4
BattleMaster BLR-1G,5
BattleMaster BLR-1G,6
Cyclops CP-10-Z,5
Cyclops CP-10-Z,4
Banshee BNC-3E,3
Banshee BNC-3E,2
Zeus ZEU-6S,1
