# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Free Worlds League Medium Meks, Tech Level D
Griffin GRF-1N,1
Trebuchet TBT-5J,2
Trebuchet TBT-5N,3
Hunchback HBK-4G,4
Shadow Hawk SHD-2H,5
Phoenix Hawk PXH-1,6
Wolverine WVR-6M,5
Hermes II HER-2S,4
Dervish DV-6M,3
Vulcan VL-2T,2
Scorpion SCP-1N,1
